application_id,applicant_id,loan_type,loan_amount,loan_term_months,status,application_date
220,261,personal_loan,19084,12,submitted,2023-02-09 06:50:00
221,262,personal_loan,14386,60,submitted,2023-06-20 10:00:00
222,263,personal_loan,45721,60,submitted,2023-07-23 09:27:00
223,264,personal_loan,30088,12,submitted,2023-06-28 10:48:00
224,265,personal_loan,16225,60,submitted,2023-12-19 13:56:00
225,266,home_loan,393807,36,submitted,2023-03-28 06:25:00
226,267,business_loan,126721,48,submitted,2023-03-12 14:14:00
227,268,business_loan,90345,24,submitted,2023-04-29 05:05:00
228,269,home_loan,201071,12,submitted,2023-12-14 10:04:00
229,271,auto_loan,15537,60,submitted,2023-06-12 02:15:00
230,272,business_loan,191628,24,submitted,2023-12-05 08:13:00
231,273,personal_loan,21750,60,submitted,2023-02-27 22:31:00
232,275,personal_loan,47342,12,submitted,2023-07-24 16:18:00
233,276,personal_loan,30388,60,submitted,2023-02-14 06:05:00
234,277,personal_loan,2633,48,submitted,2023-02-06 06:44:00
235,278,education_loan,23985,24,submitted,2023-12-09 18:42:00
236,280,personal_loan,47232,36,submitted,2023-05-18 15:36:00
237,281,education_loan,12639,60,submitted,2023-05-12 17:57:00
238,282,personal_loan,8360,48,submitted,2023-09-01 20:24:00
239,283,auto_loan,12659,36,submitted,2023-06-14 02:52:00
240,285,home_loan,98486,36,submitted,2023-06-07 04:39:00
241,287,personal_loan,19214,24,submitted,2023-10-02 03:26:00
242,289,auto_loan,10726,60,submitted,2023-03-10 17:18:00
243,290,personal_loan,40654,60,submitted,2023-03-14 09:06:00
244,291,home_loan,425371,48,submitted,2023-08-28 07:54:00
245,292,personal_loan,23604,36,submitted,2024-01-02 07:22:00
246,293,business_loan,32963,24,submitted,2023-10-11 17:06:00
247,294,auto_loan,32237,48,submitted,2023-07-27 20:43:00
248,295,auto_loan,32144,24,submitted,2023-04-15 03:28:00
249,296,personal_loan,20872,48,submitted,2023-07-23 03:01:00
250,297,education_loan,7332,60,submitted,2023-11-17 15:15:00
251,298,personal_loan,42864,36,submitted,2023-11-27 04:15:00
252,299,home_loan,347751,24,submitted,2023-09-18 10:24:00
253,300,personal_loan,33151,12,submitted,2023-09-01 17:22:00
254,301,business_loan,89669,48,submitted,2023-04-25 09:54:00
255,302,personal_loan,1160,24,submitted,2023-01-18 10:44:00
256,303,personal_loan,44641,36,submitted,2023-04-03 04:02:00
257,304,education_loan,19039,12,submitted,2023-03-11 01:45:00
258,306,home_loan,239666,60,submitted,2023-08-13 05:31:00
259,307,business_loan,174625,48,submitted,2023-12-21 17:08:00
260,308,home_loan,434280,60,submitted,2023-10-17 19:59:00
261,310,personal_loan,31214,24,submitted,2023-01-01 09:24:00
262,311,personal_loan,28493,36,submitted,2023-10-24 03:48:00
263,313,home_loan,451836,24,submitted,2023-12-01 15:38:00
264,314,home_loan,215785,36,submitted,2023-10-05 06:42:00
265,315,personal_loan,39013,36,submitted,2023-01-04 12:05:00
266,316,personal_loan,19442,36,submitted,2023-02-11 17:54:00
267,317,personal_loan,11684,12,submitted,2023-07-11 17:23:00
268,318,personal_loan,13348,60,submitted,2023-12-26 14:06:00
269,319,business_loan,196789,60,submitted,2023-08-06 13:43:00
270,320,home_loan,90055,12,submitted,2023-09-23 09:43:00
271,321,home_loan,213354,36,submitted,2023-08-05 05:43:00
272,323,auto_loan,27416,24,submitted,2023-03-20 23:36:00
273,324,auto_loan,12772,24,submitted,2023-07-30 12:24:00
274,326,personal_loan,14752,24,submitted,2023-06-06 15:17:00
275,327,auto_loan,56382,12,submitted,2023-08-05 02:41:00
276,329,personal_loan,8065,12,submitted,2023-05-10 09:29:00
277,330,home_loan,295934,12,submitted,2023-05-07 05:31:00
278,331,personal_loan,44750,12,submitted,2023-12-19 08:18:00
279,332,education_loan,16461,60,submitted,2023-07-30 08:01:00
280,333,auto_loan,6917,12,submitted,2023-11-09 09:45:00
281,335,education_loan,25795,36,submitted,2023-02-27 03:04:00
282,336,business_loan,170682,24,submitted,2023-03-21 09:48:00
283,337,personal_loan,38888,12,submitted,2023-06-01 17:58:00
284,338,education_loan,14257,60,submitted,2023-11-24 16:58:00
285,340,education_loan,34110,36,submitted,2023-06-08 17:50:00
286,341,home_loan,106268,24,submitted,2023-10-27 18:39:00
287,342,home_loan,319615,24,submitted,2023-03-21 05:12:00
288,343,personal_loan,8229,60,submitted,2023-04-03 03:40:00
289,345,home_loan,71290,12,submitted,2023-09-30 19:01:00
290,346,home_loan,289571,60,submitted,2023-06-06 20:04:00
291,347,personal_loan,27691,36,submitted,2023-09-10 20:48:00
292,348,personal_loan,5561,48,submitted,2023-03-07 18:45:00
293,349,personal_loan,45181,48,submitted,2023-12-03 00:03:00
294,350,home_loan,395268,12,submitted,2023-12-20 23:00:00
295,352,auto_loan,16057,12,submitted,2023-04-15 01:45:00
296,353,personal_loan,39991,48,submitted,2023-01-08 23:05:00
297,355,personal_loan,47759,60,submitted,2023-07-07 13:20:00
298,356,home_loan,399530,60,submitted,2023-08-15 23:17:00
299,357,home_loan,127266,48,submitted,2023-07-20 13:54:00
300,359,personal_loan,9821,12,submitted,2023-09-09 19:56:00
301,363,home_loan,406098,36,submitted,2023-11-27 11:25:00
302,364,auto_loan,48324,60,submitted,2023-09-13 12:41:00
303,365,personal_loan,44390,48,submitted,2023-11-25 21:56:00
304,366,home_loan,474401,60,submitted,2023-11-16 05:30:00
305,367,education_loan,10807,48,submitted,2023-05-30 22:33:00
306,368,home_loan,68864,12,submitted,2023-11-11 07:12:00
307,369,business_loan,53029,48,submitted,2023-12-13 09:07:00
308,370,auto_loan,36945,12,submitted,2023-01-27 09:59:00
309,371,auto_loan,49916,60,submitted,2023-12-06 10:38:00
310,372,home_loan,131951,60,submitted,2023-06-03 03:51:00
311,374,auto_loan,28118,36,submitted,2023-04-04 17:34:00
312,375,home_loan,117212,36,submitted,2023-12-13 03:57:00
313,376,auto_loan,45970,36,submitted,2023-04-13 12:48:00
314,377,personal_loan,24420,48,submitted,2023-08-22 10:39:00
315,378,personal_loan,43472,36,submitted,2023-01-26 20:24:00
316,379,business_loan,40007,36,submitted,2023-08-15 16:58:00
317,380,personal_loan,31206,48,submitted,2023-04-04 18:04:00
318,381,personal_loan,46610,48,submitted,2023-10-29 14:00:00
319,382,home_loan,254630,36,submitted,2023-12-07 02:31:00
320,383,personal_loan,45244,24,submitted,2023-09-18 20:26:00
321,384,business_loan,184951,36,submitted,2023-11-16 09:30:00
322,385,home_loan,278584,24,submitted,2023-11-16 22:02:00
323,386,business_loan,150465,24,submitted,2023-07-12 02:51:00
324,387,personal_loan,38586,48,submitted,2023-10-04 00:00:00
325,388,auto_loan,42892,12,submitted,2023-02-07 11:43:00
326,389,personal_loan,35803,48,submitted,2023-10-23 18:58:00
327,390,business_loan,180796,36,submitted,2023-11-27 20:39:00
328,391,home_loan,333088,36,submitted,2023-06-06 10:05:00
329,392,personal_loan,34775,48,submitted,2023-07-22 21:18:00
330,393,personal_loan,2219,60,submitted,2023-03-17 02:02:00
331,394,personal_loan,49641,48,submitted,2023-11-30 08:09:00
332,395,business_loan,123698,60,submitted,2023-10-12 11:41:00
333,396,home_loan,240984,48,submitted,2023-12-11 04:15:00
334,398,business_loan,117547,36,submitted,2023-07-05 19:43:00
335,399,auto_loan,32029,36,submitted,2023-02-11 17:54:00
336,400,personal_loan,40402,24,submitted,2023-11-20 21:52:00
337,401,personal_loan,2815,24,submitted,2023-03-19 02:25:00
338,402,home_loan,343509,48,submitted,2023-09-16 16:42:00
339,403,personal_loan,18872,24,submitted,2023-03-17 04:46:00
340,405,auto_loan,16533,12,submitted,2023-05-23 11:16:00
341,406,business_loan,24503,12,submitted,2023-07-14 22:33:00
342,407,business_loan,116694,36,submitted,2023-02-11 07:41:00
343,408,home_loan,490302,24,submitted,2023-06-20 11:07:00
344,409,education_loan,37207,60,submitted,2023-03-10 11:37:00
345,410,personal_loan,6914,24,submitted,2023-07-30 15:36:00
346,411,personal_loan,39294,48,submitted,2023-08-01 12:09:00
347,412,education_loan,17287,24,submitted,2023-11-04 01:04:00
348,414,home_loan,183329,60,submitted,2023-11-07 05:52:00
349,416,personal_loan,28772,48,submitted,2023-02-13 00:38:00
350,417,business_loan,47987,36,submitted,2023-12-03 18:44:00
351,418,business_loan,15524,60,submitted,2023-08-07 18:23:00
352,420,auto_loan,56694,24,submitted,2023-08-18 05:10:00
353,421,personal_loan,46915,36,submitted,2023-11-24 02:51:00
354,422,home_loan,173932,48,submitted,2023-01-21 15:24:00
355,423,education_loan,19746,36,submitted,2023-04-02 23:31:00
356,425,personal_loan,11500,48,submitted,2023-10-29 13:33:00
357,426,business_loan,81837,12,submitted,2023-05-24 12:38:00
358,427,home_loan,266510,36,submitted,2023-09-18 00:21:00
359,428,business_loan,193102,36,submitted,2023-05-05 23:49:00
360,429,home_loan,432327,60,submitted,2023-04-25 19:44:00
361,430,auto_loan,54936,12,submitted,2023-02-19 23:43:00
362,431,auto_loan,56840,24,submitted,2023-12-17 06:31:00
363,433,personal_loan,6389,12,submitted,2023-06-13 07:57:00
364,434,auto_loan,55305,24,submitted,2023-09-30 08:30:00
365,435,business_loan,93728,48,submitted,2023-08-26 15:44:00
366,436,personal_loan,46053,60,submitted,2023-05-16 01:17:00
367,437,personal_loan,28164,36,submitted,2023-07-26 21:28:00
368,438,education_loan,17711,12,submitted,2023-07-17 07:09:00
369,439,auto_loan,46066,24,submitted,2023-06-14 15:19:00
370,440,personal_loan,46957,24,submitted,2023-11-21 15:28:00
371,442,personal_loan,25112,24,submitted,2023-12-13 02:31:00
372,443,personal_loan,35461,48,submitted,2023-11-25 02:26:00
373,444,business_loan,139538,12,submitted,2024-01-01 19:38:00
374,445,personal_loan,18445,36,submitted,2023-01-13 07:46:00
375,446,personal_loan,14540,60,submitted,2023-01-16 13:33:00
376,447,auto_loan,17410,48,submitted,2023-05-09 12:18:00
377,448,personal_loan,18157,24,submitted,2023-08-29 12:59:00
378,449,home_loan,408753,48,submitted,2023-10-17 21:33:00
379,451,education_loan,29054,24,submitted,2023-09-04 03:00:00
380,452,auto_loan,21792,12,submitted,2023-08-14 19:15:00
381,455,home_loan,235756,60,submitted,2023-02-23 16:17:00
382,456,personal_loan,34065,60,submitted,2023-09-13 17:29:00
383,457,auto_loan,13666,60,submitted,2023-04-05 09:57:00
384,459,home_loan,227826,48,submitted,2023-03-24 18:46:00
385,461,home_loan,186527,12,submitted,2023-01-25 14:50:00
386,462,home_loan,487677,36,submitted,2023-06-24 13:03:00
387,463,personal_loan,18250,60,submitted,2023-11-29 19:51:00
388,464,home_loan,278471,24,submitted,2023-09-08 08:28:00
389,465,auto_loan,14913,60,submitted,2023-11-06 08:10:00
390,466,personal_loan,10740,12,submitted,2023-04-07 09:39:00
391,467,home_loan,135749,48,submitted,2023-12-16 20:49:00
392,468,personal_loan,24364,60,submitted,2023-01-25 20:11:00
393,469,personal_loan,48170,24,submitted,2023-09-30 11:44:00
394,472,business_loan,143362,36,submitted,2023-09-28 21:15:00
395,473,home_loan,52163,60,submitted,2023-12-13 18:44:00
396,474,home_loan,90283,24,submitted,2023-11-05 14:59:00
397,475,business_loan,16805,36,submitted,2023-10-17 06:13:00
398,476,home_loan,359507,12,submitted,2023-11-02 16:33:00
399,477,personal_loan,31161,48,submitted,2023-09-20 13:36:00
400,478,home_loan,53043,36,submitted,2023-05-09 18:16:00
401,479,personal_loan,48942,60,submitted,2023-04-02 01:52:00
402,481,personal_loan,4639,12,submitted,2023-11-22 01:03:00
403,482,personal_loan,17722,24,submitted,2023-12-14 00:25:00
404,483,personal_loan,14646,24,submitted,2023-06-24 06:30:00
405,484,personal_loan,43864,24,submitted,2023-09-06 21:12:00
406,486,auto_loan,25322,60,submitted,2023-12-04 08:49:00
407,488,home_loan,306703,48,submitted,2023-05-30 00:21:00
408,489,personal_loan,40343,48,submitted,2023-10-10 05:48:00
409,491,auto_loan,33449,48,submitted,2023-12-07 08:42:00
410,493,auto_loan,47441,24,submitted,2024-01-02 12:02:00
411,494,auto_loan,39385,12,submitted,2023-07-04 16:19:00
412,495,personal_loan,32300,36,submitted,2023-05-26 15:09:00
413,498,home_loan,204917,60,submitted,2023-10-15 01:46:00
